# feature_name,mean,std
time_remaining,0.4100000000,0.2529257373
time_elapsed,0.5900000000,0.2529257373
current_return,0.0008263566,0.2639926818
current_momentum,0.0013646363,0.4300852552
prev_return_1,0.0143650541,4.6135039749
prev_return_2,0.0094543006,3.2977147464
prev_return_4,0.0188110463,4.6575113477
volatility_4,0.2764489677,0.2925314645
volatility_8,0.2924260174,0.2759623143
trend,0.0014670646,0.5402775447
rsi,50.5326932549,15.2118797173
prev_body,0.0014676205,0.3998549603
prev_range,0.4846964410,0.4971832479
momentum_x_time,0.0005774065,0.2063575406
trend_alignment,-0.0018413951,0.3364970415
